original_title,title_length,production_companies
The Chronicles of Riddick,25,"Universal Pictures, One Race Productions, Primal Foe Productions, Radar Pictures"
Spanglish,9,"Gracie Films, Columbia Pictures Corporation"
Secret Window,13,"Columbia Pictures Corporation, Pariah Entertainment Group, Grand Slam Productions, Mel's Cite du Cinema"
The Princess Diaries 2: Royal Engagement,40,Walt Disney Pictures
The Alamo,9,"Imagine Entertainment, Touchstone Pictures"
The Grudge,10,"Ghost House Pictures, Vertigo Entertainment, Senator International, Colombia Pictures, Fellah Pictures"
Cellular,8,New Line Cinema
The Manchurian Candidate,24,"Paramount Pictures, Scott Rudin Productions, Clinica Estetico"
The Machinist,13,"Filmax Entertainment, Castelao Producciones, Canal+ EspaÃ±a, Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA), ICF"
Seed of Chucky,14,Rogue Pictures
Taxi,4,"Twentieth Century Fox Film Corporation, Robert Simonds Productions, EuropaCorp"
Alfie,5,"Paramount Pictures, Patalex Productions"
Shall We Dance?,15,Miramax Films
The Stepford Wives,18,"Paramount Pictures, De Line Pictures, DreamWorks Pictures"
Home on the Range,17,"Walt Disney Pictures, Walt Disney Feature Animation"
Hidalgo,7,"Casey Silver Productions, Touchstone Pictures, Dune Films"
Fahrenheit 9/11,15,"BIM Distribuzione, Fellowship Adventure Group"
White Chicks,12,"Columbia Pictures, Revolution Studios, Wayans Bros. Entertainment, Gone North Productions"
Hotel Rwanda,12,"Lions Gate Films, United Artists, Industrial Development Corporation of South Africa, Endgame Entertainment, Miracle Pictures"
Twisted,7,"Paramount Pictures, Kopelson Entertainment, Harlequin Pictures, Intertainment AG, Blackout Productions Inc."
Team America: World Police,26,"Paramount Pictures, Scott Rudin Productions"
Sideways,8,"Fox Searchlight Pictures, Michael London Productions, Sideways Productions Inc."
Without a Paddle,16,"Paramount Pictures, De Line Pictures"
Starsky & Hutch,15,"Weed Road Pictures, Warner Bros., Dimension Films, Red Hour Films, AR-TL"
Confessions of a Teenage Drama Queen,36,Walt Disney Pictures
The Village,11,"Scott Rudin Productions, Touchstone Pictures, Blinding Edge Pictures"
The Whole Ten Yards,19,"Cheyenne Enterprises, Franchise Pictures, MHF Zweite Academy Film, Eclipse Catering, Nine Yards Two Productions"
The Passion of the Christ,25,Icon Productions
Ray,3,Universal Pictures
Dirty Dancing: Havana Nights,28,"Miramax Films, Lions Gate Films, Artisan Entertainment, Lawrence Bender Productions, Havana Nights LLC"
Wimbledon,9,Universal Pictures
Taking Lives,12,"Village Roadshow Pictures, Atmosphere Entertainment MM, Warner Bros."
The Phantom of the Opera,24,"Odyssey Entertainment, Warner Bros., Scion Films, Really Useful Films"
Wicker Park,11,"Lakeshore Entertainment, Metro-Goldwyn-Mayer (MGM), Mel's Cite du Cinema"
The Life Aquatic with Steve Zissou,34,Touchstone Pictures
Around the World in 80 Days,27,"Studio Babelsberg, Walden Media, Babelsberg Film, Mostow/Lieberman Productions, 80 Days Productions"
Barbershop 2:  Back in Business,31,Metro-Goldwyn-Mayer (MGM)
The Forgotten,13,"Revolution Studios, Jinks/Cohen Company, Visual Arts Entertainment"
Flight of the Phoenix,21,"Twentieth Century Fox Film Corporation, Davis Entertainment, Aldrich Group, Optional Pictures"
Godsend,7,"Lions Gate Films, 2929 Productions, Artists Production Group (APG), Blue Productions"
Friday Night Lights,19,"Universal Studios, Imagine Entertainment, Friday Night Lights LLC, MDBF Filmgesellschaft mbH & Company KG"
Paparazzi,9,20th Century Fox
Vanity Fair,11,"Alliance Films, Focus Features"
Deux frÃ¨res,12,"PathÃ© Renn Productions, TF1 Films Production, Canal+, Pathe, Two Brothers Productions"
Torque,6,"Village Roadshow Pictures, Original Film, Warner Bros."
Miracle,7,Walt Disney
Mindhunters,11,"Avenue Pictures Productions, Weed Road Pictures, Intermedia Films, Egmond Film & Television, Dimension Films"
Club Dread,10,"Fox Searchlight Pictures, Broken Lizard Industries, Coconut Pete Productions"
Suspect Zero,12,"Paramount Pictures, Cruise/Wagner Productions, Lakeshore Entertainment, Intermedia Films"
The Big Bounce,14,"Warner Bros. Pictures, Shangri-La Entertainment, Material, Taormina Productions"
Mr. 3000,8,Touchstone Pictures
Connie and Carla,16,Universal Pictures
Spartan,7,"Epsilon Motion Pictures, Franchise Pictures, Signature Pictures, Linson Entertainment, Art Linson Productions"
Agent Cody Banks 2: Destination London,38,"Splendid Pictures, Maverick Films, Metro-Goldwyn-Mayer (MGM), Dylan Sellers Productions, Madacy Entertainment"
Johnson Family Vacation,23,"Fox Searchlight Pictures, Bird and a Bear Entertainment, Hallway Pictures, Catch Productions"
Little Black Book,17,"Revolution Studios, Blue Star Pictures"
Ladder 49,9,"Casey Silver Productions, Beacon Communications, Touchstone Pictures, Beacon Pictures, Fantail Films Inc."
Pirates of the Caribbean: At World's End,40,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions"
Harry Potter and the Order of the Phoenix,41,"Cool Music, Warner Bros., Heyday Films, Harry Potter Publishing Rights"
Ratatouille,11,"Walt Disney Pictures, Pixar Animation Studios"
The Bourne Ultimatum,20,"Universal Pictures, The Kennedy/Marshall Company, Ludlum Entertainment, Motion Picture BETA Produktionsgesellschaft, Bourne Again"
No Country for Old Men,22,"Miramax Films, Scott Rudin Productions, Paramount Vantage, Mike Zoss Productions"
I Am Legend,11,"Village Roadshow Pictures, Original Film, Weed Road Pictures, Warner Bros., Heyday Films"
National Treasure: Book of Secrets,34,"Jerry Bruckheimer Films, Saturn Films, Walt Disney, Junction Entertainment, Sparkler Entertainment"
Spider-Man 3,12,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises"
The Mist,8,"Darkwoods Productions, Dimension Films"
Stardust,8,"Paramount Pictures, Ingenious Film Partners, Di Bonaventura Pictures, Marv Films, Vaughn Productions"
Live Free or Die Hard,21,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Cheyenne Enterprises, Wintergreen Productions"
Rush Hour 3,11,New Line Cinema
Into the Wild,13,"Paramount Vantage, River Road Entertainment, Art Linson Productions, Into the Wild"
300,3,"Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Warner Bros."
Ghost Rider,11,"Columbia Pictures Corporation, Relativity Media, Michael De Luca Productions, Marvel Enterprises, Crystal Sky Pictures"
Juno,4,"Fox Searchlight Pictures, Mandate Pictures"
Bridge to Terabithia,20,"Walden Media, Hal Lieberman Company, Lauren Levine Productions Inc."
Shooter,7,"Paramount Pictures, Di Bonaventura Pictures, Grosvenor Park Impact Productions"
Atonement,9,"Universal Pictures, Studio Canal, Relativity Media, Working Title Films"
There Will Be Blood,19,"Miramax Films, Ghoulardi Film Company, Paramount Vantage"
American Gangster,17,"Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media, Film Rites"
Shrek the Third,15,DreamWorks Animation
Sweeney Todd: The Demon Barber of Fleet Street,46,"Warner Bros., DreamWorks Pictures, Tim Burton Productions, Zanuck Company, The, Parkes+MacDonald Image Nation"
Superbad,8,"Columbia Pictures, Apatow Productions"
Alvin and the Chipmunks,23,"Dune Entertainment, Regency Enterprises, Fox 2000 Pictures, Bagdasarian Productions"
Bee Movie,9,"Pacific Data Images (PDI), DreamWorks Animation, Columbus 81 Productions"
Meet the Robinsons,18,"Walt Disney Pictures, Walt Disney Animation Studios"
P.S. I Love You,15,"Wendy Finerman Productions, Alcon Entertainment, Grosvenor Park Productions"
Knocked Up,10,"Universal Pictures, Apatow Productions"
The Number 23,13,"New Line Cinema, Contrafilm, Firm Films"
4: Rise of the Silver Surfer,28,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, 1492 Pictures, Dune Entertainment, Constantin Film Produktion"
Enchanted,9,"Walt Disney Pictures, Josephson Entertainment, Andalasia Productions, Right Coast Productions"
Zodiac,6,"Paramount Pictures, Warner Bros., Phoenix Pictures"
Ocean's Thirteen,16,"Village Roadshow Pictures, Section Eight, Jerry Weintraub Productions, Warner Bros."
TMNT,4,"The Weinstein Company, Imagi Animation Studios, Warner Bros., Mirage Studios, Imagi Production"
The Simpsons Movie,18,"Gracie Films, Twentieth Century Fox Film Corporation"
Charlie Wilson's War,20,"Universal Pictures, Participant Productions, Playtone Production"
28 Weeks Later,14,"DNA Films, Figment Films, Sociedad General de Cine S.A., UK Film Council, Fox Atomic"
The Kingdom,11,"Universal Pictures, Forward Pass, Relativity Media, FilmWorks, MDBF Zweite Filmgesellschaft"
Sunshine,8,"DNA Films, Ingenious Film Partners, UK Film Council, Moving Picture Company (MPC)"
Mr. Bean's Holiday,18,"Tiger Aspect Productions, Working Title Films"
Mr. Brooks,10,"Tig Productions, Eden Rock Media, Element Films, Relativity Media"
30 Days of Night,16,"Columbia Pictures, Dark Horse Entertainment, Ghost House Pictures, HorrorFlix"
The Golden Compass,18,"New Line Cinema, Ingenious Film Partners, Depth of Field, Scholastic Productions"
88 Minutes,10,"TriStar Pictures, Nu Image Entertainment, Brightlight Pictures"
Disturbia,9,"Paramount Pictures, DreamWorks SKG, Cold Spring Pictures, Montecito Picture Company, The"
Lions for Lambs,15,"Cruise/Wagner Productions, United Artists, Wildwood Enterprises, Andell Entertainment, Metro-Goldwyn-Mayer (MGM)"
3:10 to Yuma,12,"Tree Line Films, Lionsgate, Relativity Media, Yuma"
August Rush,11,"Warner Bros., CJ Entertainment, Southpaw Entertainment"
Awake,5,"The Weinstein Company, Open City Films, GreeneStreet Films"
War,3,"Mosaic Media Group, Current Entertainment, Lionsgate, Fierce Entertainment, Province of British Columbia Production Services Tax Credit"
Evan Almighty,13,"Columbia Pictures, Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Original Film"
I Now Pronounce You Chuck & Larry,33,"Universal Pictures, Happy Madison Productions"
Next,4,"Paramount Pictures, Virtual Studios, Revolution Studios, Saturn Films, Broken Road Productions"
Premonition,11,"TriStar Pictures, Hyde Park Films, Offspring Entertainment"
Saw IV,6,"Lions Gate Films, Twisted Pictures"
Fred Claus,10,"Silver Pictures, Warner Bros., Jessie Nelson Productions, David Dobkin Productions"
Hairspray,9,New Line Cinema
Shoot 'Em Up,12,"New Line Cinema, Angry Films"
Eastern Promises,16,"BBC Films, Serendipity Point Films, TÃ©lÃ©film Canada, Astral Media, Scion Films"
Beowulf,7,"Paramount Pictures, Shangri-La Entertainment, ImageMovers, Paramount Animation"
No Reservations,15,"Village Roadshow Pictures, Castle Rock Entertainment, Warner Bros., Storefront Pictures, WV Films III"
The Heartbreak Kid,18,"Conundrum Entertainment, Davis Entertainment, DreamWorks Pictures, Radar Pictures"
Surf's Up,9,Sony Pictures Animation
1408,4,Dimension Films
Hitman,6,"Twentieth Century Fox Film Corporation, Dune Entertainment, Anka Film, EuropaCorp, Daybreak Productions"
The Game Plan,13,"Walt Disney Pictures, Mayhem Pictures, Monkey Dance Productions"
Grindhouse,10,"Big Talk Productions, Yer Dead Productions, Weinstein Company, The, Dimension Films, Troublemaker Studios"
Run Fatboy Run,14,"Entertainment Films, Material Entertainment, Beech Hill Films"
Transformers,12,"Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes"
The Bucket List,15,"Warner Bros., Storyline Entertainment, Two Ton Films, Zadan / Meron Productions"
Hostel: Part II,15,"Lions Gate Films, Next Entertainment, Screen Gems"
The Hitcher,11,"Intrepid Pictures, Focus Films, Platinum Dunes"
I Know Who Killed Me,20,"TriStar Pictures, 360 Pictures"
Halloween,9,"Dimension Films, Spectacle Entertainment Group, Nightfall Productions"
Becoming Jane,13,"Ecosse Films, 2 Entertain, Bueprint Pictures"
Funny Games,11,"Halcyon Pictures, Kinematograf Wien"
Elizabeth: The Golden Age,25,"Universal Pictures, StudioCanal, Working Title Films"
The Invasion,12,"Village Roadshow Pictures, Vertigo Entertainment, Silver Pictures, Warner Bros."
Before the Devil Knows You're Dead,34,"Capitol Films, Linsefilm, Unity Productions, Michael Cerenzie Productions, Funky Buddha Productions"
Daddy Day Camp,14,"Revolution Studios, TriStar Pictures"
Resident Evil: Extinction,25,"Impact Pictures, Davis-Films, Constantin Film Produktion, Resident Evil Productions"
The Assassination of Jesse James by the Coward Robert Ford,58,"Plan B Entertainment, Virtual Studios, Scott Free Productions, Alberta Film Entertainment, Warner Bros."
A Mighty Heart,14,"Plan B Entertainment, Revolution Films, Paramount Vantage"
The Reaping,11,"Village Roadshow Pictures, Dark Castle Entertainment, Warner Bros., Eyetronics, Chime Films"
Perfect Stranger,16,"Columbia Pictures, Revolution Studios"
Norbit,6,"DreamWorks SKG, Davis Entertainment, Tollin/Robbins Productions"
Music and Lyrics,16,"Village Roadshow Pictures, Castle Rock Entertainment, Reserve Room, Flower Films (II)"
Rendition,9,"Anonymous Content, Level 1 Entertainment, MID Foundation"
In the Valley of Elah,21,"Summit Entertainment, Blackfriars Bridge Films, NALA Films, Samuels Media, Warner Independent Pictures (WIP)"
Good Luck Chuck,15,"Lionsgate, Karz Entertainment"
Epic Movie,10,"Twentieth Century Fox Film Corporation, Regency Enterprises, New Regency Pictures, Paul Schiff Productions"
In the Land of Women,20,"Castle Rock Entertainment, Land Films Inc., Anonymous Content"
The Nanny Diaries,17,"The Weinstein Company, FilmColony"
The Great Debaters,18,"The Weinstein Company, Harpo Films, Marshall Production"
Freedom Writers,15,"Double Feature Films, Jersey Films, Kernos Filmproduktionsgesellschaft & Company"
The Invisible,13,"Spyglass Entertainment, Hollywood Pictures, Birnbaum / Barber Productions"
We Own the Night,16,"Columbia Pictures, Industry Entertainment, 2929 Productions"
The Kite Runner,15,"DreamWorks SKG, MacDonald/Parkes Productions, Sidney Kimmel Entertainment, Neal Street Productions, China Film Co-Production Corporation"
Vacancy,7,"Screen Gems, Hal Lieberman Company"
Dan in Real Life,16,"Touchstone Pictures, Focus Features, Jon Shestack Productions"
Sydney White,12,"Morgan Creek Productions, Clifford Werber Productions, SW7D Productions"
Captivity,9,"Foresight Unlimited, RAMCO, Captivity Productions"
License to Wed,14,"Village Roadshow Pictures, Warner Bros. Pictures, Robert Simonds Productions, Phoenix Pictures, Underground"
I Could Never Be Your Woman,27,"Scott Rudin Productions, I Could Never Ltd., Bauer Martinez Studios"
Michael Clayton,15,"Castle Rock Entertainment, Mirage Enterprises, Section Eight Productions"
The Water Horse,15,"Revolution Studios, Ecosse Films, Beacon Pictures, Walden Media"
Death Sentence,14,"Twentieth Century Fox Film Corporation, Dune Entertainment, Baldwin Entertainment Group, Hyde Park Entertainment, Brass Hat Films"
The Lookout,11,Miramax Films
Sicko,5,The Weinstein Company
Pathfinder,10,"Twentieth Century Fox Film Corporation, Dune Entertainment, Major Studio Partners, Phoenix Pictures"
Gone Baby Gone,14,"Miramax Films, The Ladd Company"
Walk Hard: The Dewey Cox Story,30,"Columbia Pictures Corporation, Apatow Productions"
Things We Lost in the Fire,26,"DreamWorks SKG, Neal Street Productions, DreamWorks Pictures, Province of British Columbia Production Services Tax Credit"
Reign Over Me,13,"Columbia Pictures, Happy Madison Productions, Sunlight Productions, Relativity Media, Madison 23"
Love in the Time of Cholera,27,"New Line Cinema, Grosvenor Park Media Ltd."
I'm Not There.,14,"Endgame Entertainment, Rising Star, Killer Films, John Wells Productions, Dreamachine"
Earth,5,BBC
The Last Legion,15,"Ingenious Film Partners, Quinta Communications, Dino De Laurentiis Company, Zephyr Films"
Whisper,7,"Universal Pictures, Canadian Film or Video Production Tax Credit (CPTC), Gold Circle Films, Province of British Columbia Production Services Tax Credit, H2F Entertainment"
My Blueberry Nights,19,"Block 2 Pictures, Jet Tone Production, StudioCanal, Lou Yi Inc."
Stomp the Yard,14,Rainforest Films
Virgin Territory,16,"Ingenious Film Partners, Dino de Laurentiis Cinematografica, Dino De Laurentiis Company, Zephyr Films, Red Lion Sarl"
Dead Silence,12,"Universal Pictures, Twisted Pictures, Evolution Entertainment"
I Think I Love My Wife,22,Fox Searchlight Pictures
Hannibal Rising,15,"Ingenious Film Partners, ETIC Films, Quinta Communications, Dino De Laurentiis Company, Zephyr Films"
Why Did I Get Married?,22,Lions Gate Films
Ji jie hao,10,Huayi Brothers Media Corporation
Daddy's Little Girls,20,"Lions Gate Films, Tyler Perry Company, The"
Reno 911!: Miami,16,20th Century Fox
Gladiator,9,"DreamWorks SKG, Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film"
Memento,7,"Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions"
How the Grinch Stole Christmas,30,"Imagine Entertainment, Universal Pictures"
Cast Away,9,"DreamWorks SKG, Twentieth Century Fox Film Corporation, Playtone, ImageMovers"
Snatch,6,"Columbia Pictures Corporation, SKA Films"
Mission: Impossible II,22,"Paramount Pictures, Cruise/Wagner Productions, Munich Film Partners & Company (MFP) MI2 Productions"
Bedazzled,9,"Twentieth Century Fox Film Corporation, Regency Enterprises, KirchMedia"
Scary Movie,11,"Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films, Brad Grey Pictures"
The Emperor's New Groove,24,"Walt Disney Pictures, Walt Disney Feature Animation"
What Women Want,15,"Paramount Pictures, Centropolis Entertainment, Icon Entertainment International, Wind Dancer Productions"
Dinosaur,8,"Walt Disney Pictures, Walt Disney Feature Animation"
Charlie's Angels,16,Columbia Pictures
Chicken Run,11,"DreamWorks SKG, Aardman Animations, DreamWorks Animation, PathÃ©"
The Patriot,11,"Centropolis Entertainment, Columbia Pictures Corporation, Mutual Film Company, Global Entertainment Productions GmbH & Company Medien KG"
Final Destination,17,"New Line Cinema, Zide-Perry Productions, Hard Eight Pictures"
Coyote Ugly,11,"Jerry Bruckheimer Films, Touchstone Pictures"
Romeo Must Die,14,"Silver Pictures, Warner Bros."
U-571,5,"Universal Pictures, Canal Plus, Dino De Laurentiis Company"
Billy Elliot,12,"BBC Films, Tiger Aspect Productions, StudioCanal, Arts Council of England, Working Title Films"
Gone In Sixty Seconds,21,"Jerry Bruckheimer Films, Touchstone Pictures"
Erin Brockovich,15,Jersey Films
Meet the Parents,16,"DreamWorks SKG, Universal Pictures, Tribeca Productions, Nancy Tenenbaum Films"
"O Brother, Where Art Thou?",26,"Universal Pictures, Studio Canal, Touchstone Pictures"
Pitch Black,11,"Interscope Communications, Polygram Filmed Entertainment"
Boiler Room,11,New Line Cinema
The Road to El Dorado,21,DreamWorks Animation
Miss Congeniality,17,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Fortis Films, Warner Bros."
Frequency,9,New Line Cinema
Pay It Forward,14,"Bel Air Entertainment, Warner Bros."
Hollow Man,10,"Columbia Pictures Corporation, Global Entertainment Productions GmbH & Company Medien KG"
Big Momma's House,17,"Twentieth Century Fox Film Corporation, Regency Enterprises"
American Psycho,15,"Lions Gate Films, Edward R. Pressman Film, Muse Productions"
Dancer in the Dark,18,"Fine Line Features, Zentropa Entertainments, Danmarks Radio (DR), SVT Drama, Arte"
Road Trip,9,"DreamWorks SKG, The Montecito Picture Company"
Remember the Titans,19,"Walt Disney Pictures, Jerry Bruckheimer Films, Technical Black, Run It Up Productions Inc."
The Gift,8,"Lakeshore Entertainment, Alphaville Films"
The Legend of Bagger Vance,26,"DreamWorks SKG, Twentieth Century Fox Film Corporation, Wildwood Enterprises, Epsilon Motion Pictures, Allied Filmmakers"
Traffic,7,"USA Films, Initial Entertainment Group (IEG), Bedford Falls Company, The, Compulsion Inc., Splendid Medien AG"
"Dude, Whereâ€™s My Car?",23,"Twentieth Century Fox Film Corporation, Alcon Entertainment"
The Family Man,14,Universal Pictures
The 6th Day,11,"Columbia Pictures, Phoenix Pictures"
The Skulls,10,"Universal Pictures, Original Film, Newmarket Capital Group, Cranium Films"
"Me, Myself & Irene",18,"Twentieth Century Fox Film Corporation, Conundrum Entertainment"
Unbreakable,11,"Limited Edition Productions Inc., Touchstone Pictures, Blinding Edge Pictures, Barry Mendel Productions"
Space Cowboys,13,"Village Roadshow Pictures, Malpaso Productions, Mad Chance, Warner Bros., Clipsal Films"
The Whole Nine Yards,20,"Franchise Pictures, Warner Bros., Morgan Creek Productions, Nine Yards Productions, Rational Packaging Company"
Almost Famous,13,"Columbia Pictures, Vinyl Films, DreamWorks Pictures"
Bring It On,11,Beacon Communications
Chocolat,8,"Miramax Films, David Brown Productions, Fat Free"
High Fidelity,13,"Buena Vista, Touchstone Pictures"
Red Planet,10,"Village Roadshow Pictures, NPV Entertainment, Warner Bros., The Canton Company, Mars Production Pty. Ltd."
Mission to Mars,15,"Spyglass Entertainment, The Jacobson Company, Touchstone Pictures, Red Horizon Productions"
The Cell,8,"New Line Cinema, Avery Pix, Radical Media, Katira Productions GmbH & Co. KG, Caro-McLeod"
Shaft,5,"Paramount Pictures, Scott Rudin Productions"
Get Carter,10,"Franchise Pictures, Warner Bros., Morgan Creek Productions, The Canton Company"
The Flintstones in Viva Rock Vegas,34,"Universal Pictures, Amblin Entertainment"
Thirteen Days,13,"New Line Cinema, Tig Productions"
The Beach,9,"20th Century Fox, Figment Films"
The Perfect Storm,17,"Warner Bros., Baltimore Spring Creek Productions, Radiant Productions"
Titan A.E.,10,"Twentieth Century Fox Film Corporation, David Kirschner Productions, Fox Animation Studios"
Scream 3,8,"Konrad Pictures, Craven-Maddalena Films, Dimension Films"
Vertical Limit,14,"Columbia Pictures Corporation, Global Entertainment Productions GmbH & Company Medien KG"
Reindeer Games,14,"Dimension Films, Marty Katz Productions"
Next Friday,11,New Line Cinema
Dracula 2000,12,"Neo Art & Logic, Dimension Films, Wes Craven Films"
Men of Honor,12,Fox 2000 Pictures
What Lies Beneath,17,"DreamWorks SKG, Twentieth Century Fox Film Corporation, ImageMovers"
Rules of Engagement,19,"Paramount Pictures, Seven Arts Pictures, Munich Film Partners & Company (MFP) ROE Production"
Finding Forrester,17,"Fountainbridge Films, Laurence Mark Productions, Columbia Pictures Corporation, Finding Forrester Productions"
Boys and Girls,14,Dimension Films
102 Dalmatians,14,"Walt Disney Pictures, Cruella Productions"
Nutty Professor II: The Klumps,30,"Imagine Entertainment, Universal Pictures"
Keeping the Faith,17,"Spyglass Entertainment, Touchstone Pictures, Triple Threat Talent"
Supernova,9,"United Artists, Metro-Goldwyn-Mayer (MGM), Hammerhead Productions, Screenland Pictures"
The Art of War,14,"Amen Ra Films, Franchise Pictures, Warner Bros., Morgan Creek Productions"
Whatever It Takes,17,Columbia Pictures Corporation
The Kid,7,Walt Disney Pictures
Highlander: Endgame,19,"Davis-Panzer Productions, Dimension Films"
Love & Basketball,17,40 Acres & A Mule Filmworks
Gossip,6,Warner Bros. Pictures
Quills,6,"Fox Searchlight Pictures, Industry Entertainment, Walrus & Associates, Hollywood Partners, Charenton Productions"
Dungeons & Dragons,18,"New Line Cinema, Silver Pictures, Sweetpea Entertainment"
The Ladies Man,14,SNL Studios
Ready to Rumble,15,"Bel Air Entertainment, Warner Bros."
Return to Me,12,"Metro-Goldwyn-Mayer (MGM), JLT Productions"
X-Men,5,"Twentieth Century Fox Film Corporation, Donners' Company, Bad Hat Harry Productions, Marvel Enterprises, Springwood Productions"
The Little Vampire,18,New Line Cinema
The Adventures of Rocky & Bullwinkle,36,"Universal Pictures, Capella International, KC Medien AG, Tribeca Productions"
Hanging Up,10,"Laurence Mark Productions, Columbia Pictures Corporation, Global Entertainment Productions GmbH & Company Medien KG, Nora Ephron Productions"
The In Crowd,12,Warner Bros. Pictures
